id,canonicalSmiles,inchiKey,drugType,blackBoxWarning,name,maximumClinicalTrialPhase,hasBeenWithdrawn,isApproved,tradeNames,synonyms,childChemblIds,description,crossReferences.Wikipedia,crossReferences.drugbank,linkedDiseases.rows,linkedDiseases.count,linkedTargets.rows,linkedTargets.count,yearOfFirstApproval,parentId,crossReferences.DailyMed,crossReferences.PubChem,crossReferences.chEBI,crossReferences.EMA,crossReferences.USAN,crossReferences.TG-GATEs,crossReferences.DrugCentral,crossReferences.INN
CHEMBL4650272,CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1.Cl.Cl,BRCYOXKEDFAUSA-UHFFFAOYSA-N,Small molecule,False,TRILACICLIB DIHYDROCHLORIDE,4.0,False,True,['Cosela'],[],,Small molecule drug with a maximum clinical trial phase of IV that was first approved in 2021 and is indicated for small cell lung carcinoma.,,,['EFO_0000702'],1.0,"['ENSG00000105810', 'ENSG00000135446']",2,2021.0,CHEMBL3894860,,,,,,,,
CHEMBL711,O=C1c2ccccc2C(=O)C1c1ccccc1,NFBAXHOPROOJAW-UHFFFAOYSA-N,Small molecule,False,PHENINDIONE,4.0,False,True,"['Dindevan', 'Hedulin']","['Danilone', 'NSC-41693', 'Phenindione', 'Phenylindanedione']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1982 and is indicated for recurrent thrombophlebitis and has 1 investigational indication.,['Phenindione'],['DB00498'],"['HP_0004419', 'EFO_0002950']",2.0,['ENSG00000167397'],1,1982.0,,,"['11112218', '11532881', '144203926', '170465130', '26748198', '26748199', '50107356', '50107357', '56423141']",['8066'],,,,,
CHEMBL1113,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,QWGDMFLQWFTERH-UHFFFAOYSA-N,Small molecule,True,AMOXAPINE,4.0,False,True,"['Amoxapine', 'Asendin', 'Asendis', 'Defanyl']","['Amoxapine', 'CL 67,772', 'CL 67772', 'CL-67,772', 'CL-67772', 'NSC-759559']",,Small molecule drug with a maximum clinical trial phase of IV that was first approved in 1980 and is indicated for unipolar depression. This drug has a black box warning from the FDA.,['Amoxapine'],['DB00543'],['EFO_0003761'],1.0,"['ENSG00000149295', 'ENSG00000151577', 'ENSG00000169676', 'ENSG00000069696', 'ENSG00000184845', 'ENSG00000108576', 'ENSG00000103546']",7,1980.0,,['amoxapine'],"['104171096', '11110675', '11110676', '124879022', '124879024', '144203615', '144212669', '170465376', '26747067', '26751577', '50100159', '50104205', '50104206', '85230879', '855963', '90341240']",['2675'],,,,,
CHEMBL2103796,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](OCc2ccccc2)[C@H](C)O1.Cl,GPMIHHFZKBVWAZ-LMMKTYIZSA-N,Small molecule,False,BERUBICIN HYDROCHLORIDE,2.0,False,False,[],"['Berubicin hcl', 'Berubicin hydrochloride', 'RTA 744', 'RTA-744', 'WP-744', 'WP744']",,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 4 investigational indications.,,,"['EFO_0000519', 'MONDO_0100342', 'EFO_0005543', 'EFO_0000313']",4.0,"['ENSG00000131747', 'ENSG00000077097']",2,,CHEMBL2110580,,,,,,,,
CHEMBL3617964,Cc1c(-c2ccnn2C)cc(C(=O)NCc2ccc(S(C)(=O)=O)cn2)c(=O)n1-c1cccc(C(F)(F)F)c1,QNQZWEGMKJBHEM-UHFFFAOYSA-N,Small molecule,False,ALVELESTAT,2.0,False,False,[],"['AZD-9668', 'AZD9668', 'Alvelestat', 'Azd9668', 'MPH-966', 'MPH966', 'Mph966']",,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 5 investigational indications.,,['DB11863'],"['MONDO_0044881', 'HP_0002110', 'EFO_0000341', 'MONDO_0009061', 'MONDO_0100096']",5.0,['ENSG00000197561'],1,,,,,,,,,,
CHEMBL426161,COc1ccc(Cl)c(Nc2ncnc3cc(OCC4CCN(C)CC4)c(OC)cc23)c1,WPOXAFXHRJYEIC-UHFFFAOYSA-N,Small molecule,False,AZM-475271,2.0,False,False,[],"['Azm 475271', 'Azm-475271', 'M-475271']",,Small molecule drug with a maximum clinical trial phase of II.,,,,,"['ENSG00000197122', 'ENSG00000097007']",2,,,,,,,,,,
CHEMBL4594304,Cn1cc(S(=O)(=O)[C@@](C)(F)C2CCN(C(=O)Nc3ccon3)CC2)c(C(F)F)n1,NREKKBAMVWQRES-MRXNPFEDSA-N,Small molecule,False,DANICAMTIV,2.0,False,False,[],"['Danicamtiv', 'MYK-491', 'MYK491', 'Myk-491', 'SAR-440181', 'SAR440181']",,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications.,,,"['EFO_0003144', 'EFO_0000407']",2.0,"['ENSG00000092054', 'ENSG00000197616', 'ENSG00000078814', 'ENSG00000160808', 'ENSG00000111245', 'ENSG00000106631', 'ENSG00000198336']",7,,,,,,,['https://searchusan.ama-assn.org/finder/usan/search/DANICAMTIV/relevant/1/'],,,
CHEMBL1094,NC(=O)OCC(COC(N)=O)c1ccccc1,WKGXYQFOCVYPAC-UHFFFAOYSA-N,Small molecule,True,FELBAMATE,4.0,False,True,"['Felbamate', 'Felbatol', 'Taloxa']","['ADD-03055', 'Felbamate', 'NSC-759866', 'W-554']",['CHEMBL2130858'],Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1993 and has 3 approved and 1 investigational indication. This drug has a black box warning from the FDA.,['Felbamate'],['DB00949'],"['MONDO_0002280', 'MONDO_0004985', 'EFO_0000474', 'HP_0001250']",4.0,"['ENSG00000176884', 'ENSG00000183454', 'ENSG00000273079', 'ENSG00000105464', 'ENSG00000116032', 'ENSG00000161509', 'ENSG00000198785']",7,1993.0,,['felbamate'],"['104171154', '11113343', '144203696', '144212685', '170465178', '50104096', '56422162', '855835', '90340922']",['4995'],,,,,
CHEMBL1201748,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,BMQGVNUXMIRLCK-OAGWZNDDSA-N,Small molecule,True,CABAZITAXEL,4.0,False,True,"['Cabazitaxel accord', 'Jevtana', 'Jevtana kit']","['Cabazitaxel', 'Cabazitaxel acetonate', 'Jevtana', 'NSC-761432', 'TXD 258', 'TXD-258', 'TXD258', 'XRP 6258', 'XRP-6258', 'XRP6258']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2010 and has 7 approved and 18 investigational indications. This drug has a black box warning from the FDA.,['Cabazitaxel'],['DB06772'],"['EFO_0003085', 'MONDO_0007254', 'EFO_0001663', 'EFO_0005088', 'MONDO_0008315', 'EFO_0003060', 'EFO_0000326', 'EFO_1001094', 'EFO_1000796', 'EFO_0006859', 'EFO_0000519', 'EFO_1000601', 'MONDO_0001657', 'MONDO_0008170', 'EFO_0000702', 'EFO_0000181', 'EFO_1001951', 'EFO_0000196', 'MONDO_0004992', 'MONDO_0021259', 'MONDO_0001056', 'MONDO_0004986', 'EFO_0000673', 'EFO_0000616', 'EFO_0008528']",25.0,"['ENSG00000188229', 'ENSG00000101162', 'ENSG00000198033', 'ENSG00000127824', 'ENSG00000258947', 'ENSG00000167552', 'ENSG00000104833', 'ENSG00000261456', 'ENSG00000196230', 'ENSG00000123416', 'ENSG00000167553', 'ENSG00000152086', 'ENSG00000137267', 'ENSG00000137285', 'ENSG00000176014']",15,2010.0,,,,['63584'],['https://www.ema.europa.eu/en/medicines/human/EPAR/cabazitaxel-accord'],,,,
CHEMBL1508,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,WSEQXVZVJXJVFP-FQEVSTJZSA-N,Small molecule,True,ESCITALOPRAM,4.0,False,True,['Cipralex'],"['Escitalopram', 'Esertia', 'Esitol', 'LU-26-054']",['CHEMBL1200322'],Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2002 and has 5 approved and 32 investigational indications. This drug has a black box warning from the FDA.,['Escitalopram'],['DB01175'],"['MONDO_0005184', 'EFO_0003761', 'EFO_0003761', 'EFO_0000712', 'MONDO_0004992', 'EFO_0004262', 'EFO_0003047', 'EFO_0001358', 'MONDO_0004985', 'EFO_1001892', 'EFO_0000313', 'EFO_0003890', 'EFO_0009963', 'EFO_0002610', 'HP_0002381', 'EFO_0004242', 'MONDO_0002009', 'EFO_1001908', 'EFO_0005230', 'EFO_0803321', 'MONDO_0004975', 'MONDO_0002050', 'EFO_1001892', 'EFO_0003884', 'MONDO_0005149', 'MONDO_0002491', 'MONDO_0002009', 'MONDO_0002050', 'HP_0012076', 'EFO_0005687', 'EFO_1001917', 'HP_0000726', 'EFO_0010282', 'EFO_1001919', 'MONDO_0005090', 'EFO_0006788', 'EFO_0000685', 'EFO_0000555']",38.0,['ENSG00000108576'],1,2002.0,,,"['11110983', '11114081', '124879737', '50100207']",['36791'],,,,,
CHEMBL1569,Cl.NC12CC3CC(CC(C3)C1)C2,WOLHOYHSEKDWQH-UHFFFAOYSA-N,Small molecule,False,AMANTADINE HYDROCHLORIDE,4.0,False,True,"['Amantadine hydrochloride', 'Gocovri', 'Lysovir', 'Mantadine', 'Osmolex er', 'Symadine', 'Symmetrel']","['Adamantanamine hydrochloride', 'Amantadine hcl', 'Amantadine hydrochloride', 'EXP-105-1', 'Mantadix', 'NSC-83653', 'Osmolex']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1968 and has 7 approved and 8 investigational indications.,,,"['EFO_1001175', 'EFO_0004247', 'HP_0001300', 'EFO_0007328', 'EFO_0003047', 'MONDO_0004976', 'MONDO_0005301', 'MONDO_0005090', 'EFO_0000544', 'EFO_1001402', 'EFO_1000860', 'MONDO_0043510', 'MONDO_0100096', 'MONDO_0005180', 'EFO_0005411']",15.0,"['ENSG00000176884', 'ENSG00000183454', 'ENSG00000273079', 'ENSG00000105464', 'ENSG00000116032', 'ENSG00000161509', 'ENSG00000198785']",7,1968.0,CHEMBL660,['amantadine%20hydrochloride'],"['26747411', '26747412', '50105719', '50105720']",['2619'],,,,,
CHEMBL159226,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,VRYMTAVOXVTQEF-UHFFFAOYSA-N,Small molecule,False,MOXISYLYTE,4.0,False,True,"['Erecnos', 'Moxivig']","['Acetoxythymoxamine', 'Carlytene', 'Moxisylyte', 'Moxisylyte hcl', 'Moxisylyte hydrochloride', 'NSC-170448', 'Thymoxamine', 'Thymoxamine hcl', 'Thymoxamine hydrochloride']",['CHEMBL1256739'],Small molecule drug with a maximum clinical trial phase of IV (across all indications) and is indicated for cardiovascular disease and erectile dysfunction.,,['DB09205'],"['EFO_0000319', 'EFO_0004234']",2.0,"['ENSG00000120907', 'ENSG00000150594', 'ENSG00000184160', 'ENSG00000171873', 'ENSG00000170214', 'ENSG00000274286']",6,,,,"['11111464', '11111465', '90340735']",,,,['61'],,
CHEMBL1698,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1.Cl,HEYVINCGKDONRU-UHFFFAOYSA-N,Small molecule,True,BUPROPION HYDROCHLORIDE,4.0,False,True,"['Bupropion hydrochloride', 'Forfivo xl', 'Wellbutrin', 'Wellbutrin 100', 'Wellbutrin 75', 'Wellbutrin sr', 'Wellbutrin xl', 'Zyban']","['Amfebutamone hydrochloride', 'BW 323', 'BW-323', 'BW323', 'Bupropion HCl', 'Bupropion hcl', 'Bupropion hydrochloride', 'Mysimba', 'NSC-315851']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1985 and has 4 approved and 11 investigational indications. This drug has a black box warning from the FDA.,,,"['EFO_0005203', 'MONDO_0002009', 'MONDO_0008903', 'EFO_0003768', 'MONDO_0002050', 'EFO_0003761', 'EFO_0004319', 'MONDO_0007079', 'EFO_0009963', 'EFO_0004318', 'EFO_0001073', 'MONDO_0010200', 'MONDO_0007254', 'MONDO_0004985', 'EFO_0004247']",15.0,"['ENSG00000103546', 'ENSG00000142319']",2,1985.0,CHEMBL894,['bupropion%20hydrochloride'],"['144204172', '144212161', '170464747', '26747451', '49681824', '50105906', '573995', '855813']",,,,,,
CHEMBL2107387,Br.Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,VNGRUFUIHGGOOM-UHFFFAOYSA-N,Small molecule,True,VORTIOXETINE HYDROBROMIDE,4.0,False,True,"['Brintellix', 'Trintellix']","['Lu AA21004 (HBr)', 'Lu aa21004 hbr', 'Lu-aa21004 hydrobromide', 'Vortioxetine hydrobromide']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2013 and is indicated for unipolar depression and major depressive disorder. This drug has a black box warning from the FDA.,,,"['EFO_0003761', 'MONDO_0002009']",2.0,"['ENSG00000108576', 'ENSG00000166736', 'ENSG00000178394']",3,2013.0,CHEMBL2104993,['vortioxetine%20hydrobromide'],,['76015'],['https://www.ema.europa.eu/en/medicines/human/EPAR/brintellix'],,,,
CHEMBL2107861,,,Antibody,False,ZALUTUMUMAB,3.0,False,False,[],"['2F8', 'HUMAX-EGFR, 2F8', 'HUMAX-EGFR-2F8', 'HuMax-EGFr', 'Zalutumumab']",,Antibody drug with a maximum clinical trial phase of III (across all indications) and has 5 investigational indications.,,,"['EFO_0000707', 'EFO_0004284', 'EFO_0003060', 'EFO_0006859', 'EFO_1001951']",5.0,['ENSG00000146648'],1,,,,,,,,,,
CHEMBL2108354,,,Antibody,False,UBLITUXIMAB,4.0,False,True,['Briumvi'],"['Briumvi', 'TG-1101', 'Ublituximab', 'Ublituximab xiiy', 'Ublituximab-xiiy']",,Antibody drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2022 and has 3 approved and 8 investigational indications.,,,"['MONDO_0005301', 'EFO_0009441', 'EFO_0004256', 'EFO_1001469', 'MONDO_0018906', 'EFO_0000403', 'EFO_0003840', 'EFO_0000095', 'EFO_0003929', 'EFO_0000096', 'EFO_0000540']",11.0,['ENSG00000156738'],1,2022.0,,,,,,,,,
CHEMBL2108592,,,Antibody drug conjugate,False,EPITUMOMAB CITUXETAN,2.0,False,False,[],"['Epitumomab cituxetan', 'Hmfg 1']",,Antibody drug conjugate drug with a maximum clinical trial phase of II.,,,,,['ENSG00000185499'],1,,,,,,,,,,
CHEMBL29741,CN(C)CCOc1ccccc1-c1nc(-c2ccccc2)no1,QZULPCPLWGCGSL-UHFFFAOYSA-N,Small molecule,False,IRAMPANEL,2.0,False,False,[],"['BIIR 561', 'BIIR-561', 'BIIR-561 CL', 'Irampanel']",,Small molecule drug with a maximum clinical trial phase of II.,,,,,"['ENSG00000144285', 'ENSG00000183873', 'ENSG00000007314', 'ENSG00000136546', 'ENSG00000136531', 'ENSG00000169432', 'ENSG00000153253', 'ENSG00000168356', 'ENSG00000196876', 'ENSG00000185313', 'ENSG00000152578', 'ENSG00000125675', 'ENSG00000120251', 'ENSG00000155511']",14,,,,,,,,,,
CHEMBL4297648,[O-][n+]1cccc(-c2nc3c(Cl)cccc3cc2[C@@H](Nc2ncnc3cccnc23)C(F)(F)F)c1,LNLJHGXOFYUARS-OAQYLSRUSA-N,Small molecule,False,SELETALISIB,2.0,False,False,[],"['Seletalisib', 'UCB-5857', 'UCB5857', 'Ucb5857']",,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications.,,['DB12706'],"['EFO_0000699', 'EFO_0000676']",2.0,['ENSG00000171608'],1,,,,,,,,,,
CHEMBL4802176,,,Unknown,False,ONO-5334,2.0,False,False,[],"['ONO-5334', 'Ono-5334']",,Unknown drug with a maximum clinical trial phase of II.,,,,,['ENSG00000143387'],1,,,,,,,,,,
CHEMBL481611,CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1,FWIVDMJALNEADT-SFTDATJTSA-N,Small molecule,False,ODANACATIB,3.0,False,False,[],"['MK-0822', 'MK0822', 'Odanacatib']",,Small molecule drug with a maximum clinical trial phase of III (across all indications) and has 6 investigational indications.,['Odanacatib'],['DB06670'],"['EFO_0003854', 'MONDO_0005178', 'MONDO_0008315', 'MONDO_0007254', 'EFO_0003882', 'HP_0000083']",6.0,['ENSG00000143387'],1,,,,,,,,,,
CHEMBL956,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,MDKGKXOCJGEUJW-UHFFFAOYSA-N,Small molecule,False,SUPROFEN,4.0,True,True,['Profenal'],"['NSC-303611', 'P-(2-thenoyl)hydratropic acid', 'P-2-thenoylhydratropic acid', 'R-25,061', 'R-25061', 'Racemic suprofen', 'Srendam', 'Sulproltin', 'Suprofen', 'Sutoprofen', 'TN-762', 'Topalgic']",,Small molecule drug with a maximum clinical trial phase of IV that was first approved in 1985 and is indicated for rheumatic disease. It was withdrawn in at least one region.,['Suprofen'],['DB00870'],['EFO_0005755'],1.0,"['ENSG00000073756', 'ENSG00000095303']",2,1985.0,,,"['144204194', '170465412', '26748525', '56463227']",['9362'],,,,,
CHEMBL1200328,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1.Cl,BFFSMCNJSOPUAY-LMOVPXPDSA-N,Small molecule,True,DULOXETINE HYDROCHLORIDE,4.0,False,True,"['Ariclaim', 'Cymbalta', 'Drizalma sprinkle', 'Duciltia', 'Duloxetine hydrochloride', 'Duloxetine zentiva', 'Yentreve']","['Ariclaim', 'Duloxetine (as hydrochloride)', 'Duloxetine hcl', 'Duloxetine hydrochloride', 'Duloxetine mylan', 'LY-248686', 'LY-248686 HCL', 'LY248686 HCL', 'NSC-759112', 'Xeristar']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2004 and has 7 approved and 9 investigational indications. This drug has a black box warning from the FDA.,,,"['HP_0012532', 'MONDO_0002050', 'HP_0000020', 'EFO_0003761', 'MONDO_0002009', 'EFO_0005230', 'EFO_0005762', 'EFO_1001951', 'MONDO_0005301', 'EFO_0003843', 'EFO_0006788', 'MONDO_0005178', 'EFO_0001358', 'EFO_0002970', 'EFO_1000783', 'EFO_0005687']",16.0,"['ENSG00000103546', 'ENSG00000108576']",2,2004.0,CHEMBL1175,['duloxetine%20hydrochloride'],"['144205741', '170465319', '49681598']",['31526'],['https://www.ema.europa.eu/en/medicines/human/EPAR/duloxetine-zentiva'],,,,
CHEMBL1615369,CCCCCCOC(=O)NC(=N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1.CS(=O)(=O)O,XETBXHPXHHOLOE-UHFFFAOYSA-N,Small molecule,True,DABIGATRAN ETEXILATE MESYLATE,4.0,False,True,['Pradaxa'],"['BIBR 1048 MS', 'BIBR-1048-MS', 'Dabigatran etexilate mesilate', 'Dabigatran etexilate mesylate']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2008 and has 6 approved and 1 investigational indication. This drug has a black box warning from the FDA.,,,"['EFO_0010726', 'EFO_0000275', 'EFO_0003827', 'EFO_0000712', 'EFO_0004286', 'EFO_0003907', 'EFO_1000652']",7.0,['ENSG00000180210'],1,2008.0,CHEMBL539697,['dabigatran%20etexilate%20mesylate'],,['70743'],['https://www.ema.europa.eu/en/medicines/human/EPAR/pradaxa'],,,,
