gene_id	gene_name	disease_label	mondo_disease_id	gene_id_mouse	mp_ancestor_id	mp_ancestor_label	mp_id	mp_label	mouse_phenotype
ENSG00000006638	TBXA2R	qualitative platelet defect	MONDO_0001197	ENSMUSG00000034881	MP_0005397	hematopoietic system phenotype	MP_0000691;MP_0005464;MP_0009548	enlarged spleen;abnormal platelet physiology;abnormal platelet aggregation	True
ENSG00000007062	PROM1	PROM1-related recessive retinopathy	MONDO_1040052	ENSMUSG00000029086	MP_0003631	nervous system phenotype	MP_0008450;MP_0008449;MP_0008587;MP_0008456;MP_0014333;MP_0020816;MP_0001327;MP_0001005;MP_0001006;MP_0008584;MP_0008586;MP_0008580	retina photoreceptor degeneration;abnormal retina cone cell outer segment morphology;short photoreceptor outer segment;abnormal retina rod cell outer segment morphology;short retina cone cell outer segment;decreased photoreceptor outer segment number;decreased retina photoreceptor cell number;abnormal retina rod cell morphology;abnormal retina cone cell morphology;photoreceptor outer segment degeneration;disorganized photoreceptor outer segment;photoreceptor inner segment degeneration	True
ENSG00000007062	PROM1	PROM1-related recessive retinopathy	MONDO_1040052	ENSMUSG00000029086	MP_0005391	vision/eye phenotype	MP_0008519;MP_0001324;MP_0002792;MP_0008511;MP_0004021;MP_0010097;MP_0008450;MP_0008515;MP_0008449;MP_0008587;MP_0008456;MP_0008513;MP_0020439;MP_0001326;MP_0005201;MP_0014333;MP_0020816;MP_0012029;MP_0012143;MP_0001325;MP_0001327;MP_0001005;MP_0008518;MP_0004022;MP_0001006;MP_0008584;MP_0014658;MP_0008586;MP_0005103;MP_0008580	thin retina outer plexiform layer;abnormal eye pigmentation;abnormal retina vasculature morphology;thin retina inner nuclear layer;abnormal rod electrophysiology;abnormal retina blood vessel morphology;retina photoreceptor degeneration;thin retina outer nuclear layer;abnormal retina cone cell outer segment morphology;short photoreceptor outer segment;abnormal retina rod cell outer segment morphology;thin retina inner plexiform layer;absent b-wave;retina degeneration;abnormal retina pigment epithelium morphology;short retina cone cell outer segment;decreased photoreceptor outer segment number;abnormal electroretinogram waveform feature;a波振幅の減小;abnormal retina morphology;decreased retina photoreceptor cell number;abnormal retina rod cell morphology;retina outer nuclear layer degeneration;abnormal cone electrophysiology;abnormal retina cone cell morphology;photoreceptor outer segment degeneration;absent a-wave;disorganized photoreceptor outer segment;abnormal retina pigmentation;photoreceptor inner segment degeneration	True
ENSG00000007174	DNAH9	ciliary dyskinesia, primary, 40	MONDO_0032664	ENSMUSG00000056752	MP_0005388	respiratory system phenotype	MP_0011050	abnormal respiratory motile cilium morphology	True
ENSG00000007312	CD79B	agammaglobulinemia 6, autosomal recessive	MONDO_0012987	ENSMUSG00000040592	MP_0005387	immune system phenotype	MP_0001807;MP_0008168;MP_0008074;MP_0008215;MP_0008209;MP_0001802;MP_0008190;MP_0004978;MP_0002619;MP_0008071;MP_0005093;MP_0001805;MP_0001790;MP_0002494;MP_0005017;MP_0008181;MP_0008217;MP_0005022;MP_0008078;MP_0008045;MP_0002144;MP_0002831;MP_0002459;MP_0002496;MP_0008495;MP_0008186;MP_0008211;MP_0005432;MP_0012764;MP_0008233	IgA値低下;B-1aB細胞数減少;CD4陽性アルファ-ベータ型T細胞数の増加;decreased immature B cell number;decreased pre-B cell number;B細胞分化抑制;decreased transitional stage B cell number;B-1B細胞数減少;abnormal lymphocyte morphology;B細胞の欠如;B細胞の細胞増殖減少;IgG値低下;abnormal immune system physiology;IgM値上昇;B細胞数の減少;increased marginal zone B cell number;B細胞活性化異常;abnormal immature B cell morphology;CD8陽性T細胞数の増加;NK細胞数の減少;B細胞分化異常;absent Peyer's patches;B細胞生理異常;IgD値上昇;IgG1値低下;B細胞前駆細胞数の増加;decreased mature B cell number;abnormal pro-B cell morphology;increased alpha-beta T cell number;abnormal pro-B cell differentiation	True
ENSG00000007312	CD79B	agammaglobulinemia 6, autosomal recessive	MONDO_0012987	ENSMUSG00000040592	MP_0005397	hematopoietic system phenotype	MP_0001807;MP_0008168;MP_0008074;MP_0008215;MP_0008209;MP_0001802;MP_0008190;MP_0004978;MP_0002619;MP_0008071;MP_0005093;MP_0001805;MP_0002494;MP_0005017;MP_0008181;MP_0008217;MP_0005022;MP_0008078;MP_0008045;MP_0002144;MP_0002459;MP_0002496;MP_0008495;MP_0008186;MP_0008211;MP_0005432;MP_0012764;MP_0008233	IgA値低下;B-1aB細胞数減少;CD4陽性アルファ-ベータ型T細胞数の増加;decreased immature B cell number;decreased pre-B cell number;B細胞分化抑制;decreased transitional stage B cell number;B-1B細胞数減少;abnormal lymphocyte morphology;B細胞の欠如;B細胞の細胞増殖減少;IgG値低下;IgM値上昇;B細胞数の減少;increased marginal zone B cell number;B細胞活性化異常;abnormal immature B cell morphology;CD8陽性T細胞数の増加;NK細胞数の減少;B細胞分化異常;B細胞生理異常;IgD値上昇;IgG1値低下;B細胞前駆細胞数の増加;decreased mature B cell number;abnormal pro-B cell morphology;increased alpha-beta T cell number;abnormal pro-B cell differentiation	True
ENSG00000007372	PAX6	PAX6-related ocular dysgenesis	MONDO_0800183	ENSMUSG00000027168	MP_0002006	neoplasm	MP_0010292;MP_0002404;MP_0010301;MP_0002020	increased alimentary system tumor incidence;increased intestinal adenoma incidence;increased stomach tumor incidence;increased tumor incidence	True
ENSG00000007372	PAX6	PAX6-related ocular dysgenesis	MONDO_0800183	ENSMUSG00000027168	MP_0003631	nervous system phenotype	MP_0004811;MP_0009637;MP_0021105;MP_0000783;MP_0000785;MP_0000830;MP_0004948;MP_0021101;MP_0002199;MP_0008458;MP_0000864;MP_0000913;MP_0020527;MP_0021103;MP_0000849;MP_0000885;MP_0000914;MP_0021102;MP_0000787;MP_0008441;MP_0001330;MP_0003451;MP_0003635;MP_0000872;MP_0003232;MP_0004098;MP_0000788;MP_0004275;MP_0002206;MP_0004171;MP_0000934;MP_0008439;MP_0009937;MP_0005236;MP_0002152;MP_0006254;MP_0004274	abnormal neuron physiology;abnormal pretectal region morphology;abnormal ventral interneuron 3 morphology;abnormal forebrain morphology;telencephalon hypoplasia;abnormal diencephalon morphology;abnormal neuronal precursor proliferation;abnormal ventral interneuron morphology;abnormal brain commissure morphology;abnormal cortical ventricular zone morphology;abnormal cerebellum vermis morphology;abnormal brain development;small thalamus;abnormal ventral interneuron 1 morphology;abnormal cerebellum morphology;ectopic Purkinje cell;exencephaly;abnormal ventral interneuron 0 morphology;abnormal telencephalon morphology;thin cortical plate;abnormal optic nerve morphology;absent olfactory bulb;abnormal synaptic transmission;abnormal cerebellum external granule cell layer morphology;abnormal forebrain development;abnormal cerebellar granule cell morphology;abnormal cerebral cortex morphology;abnormal postnatal subventricular zone morphology;abnormal CNS synaptic transmission;abnormal pallium development;abnormal telencephalon development;abnormal cortical plate morphology;abnormal neuron differentiation;abnormal olfactory nerve morphology;abnormal brain morphology;thin cerebral cortex;abnormal embryonic/fetal subventricular zone morphology	True
ENSG00000007372	PAX6	PAX6-related ocular dysgenesis	MONDO_0800183	ENSMUSG00000027168	MP_0005382	craniofacial phenotype	MP_0004538;MP_0008797;MP_0000024;MP_0009902;MP_0000428;MP_0030313;MP_0000102;MP_0013791;MP_0030060;MP_0002116;MP_0000111;MP_0008789;MP_0000018;MP_0006293;MP_0000445;MP_0009903;MP_0003743;MP_0002233;MP_0002237;MP_0004726;MP_0003935;MP_0000450	abnormal maxillary shelf morphology;facial cleft;lowered ear position;abnormal lateral nasal prominence morphology;abnormal craniofacial morphology;abnormal face development;abnormal nasal bone morphology;absent external nares;absent nasal pit;abnormal craniofacial bone morphology;cleft palate;abnormal olfactory epithelium morphology;small ears;absent nasal placodes;short snout;abnormal medial nasal prominence morphology;abnormal facial morphology;abnormal nose morphology;abnormal nasal cavity morphology;abnormal nasal capsule morphology;abnormal craniofacial development;absent snout	True
ENSG00000007372	PAX6	PAX6-related ocular dysgenesis	MONDO_0800183	ENSMUSG00000027168	MP_0005391	vision/eye phenotype	MP_0003237;MP_0005262;MP_0005300;MP_0001307;MP_0002001;MP_0002699;MP_0002092;MP_0003425;MP_0010713;MP_0001306;MP_0005193;MP_0006000;MP_0005172;MP_0009859;MP_0012168;MP_0005205;MP_0001314;MP_0005201;MP_0001297;MP_0003728;MP_0001304;MP_0001303;MP_0005241;MP_0001286;MP_0001292;MP_0005261;MP_0009772;MP_0008521;MP_0010709;MP_0004269;MP_0010259;MP_0021107;MP_0001293;MP_0001322;MP_0002546;MP_0002697;MP_0001330;MP_0003078;MP_0004221;MP_0005301;MP_0005542;MP_0006226;MP_0031345;MP_0001319;MP_0011481;MP_0009725;MP_0003093;MP_0001312;MP_0001317;MP_0001346;MP_0002840;MP_0009265;MP_0001325;MP_0020855;MP_0001288;MP_0005545	abnormal lens epithelium morphology;coloboma;abnormal cornea stroma morphology;fused cornea and lens;blindness;abnormal vitreous body morphology;abnormal eye morphology;abnormal optic vesicle formation;corneal-lenticular stalk;small lens;abnormal anterior eye segment morphology;abnormal cornea epithelium morphology;decreased eye pigmentation;eye opacity;abnormal optic placode morphology;abnormal eye anterior chamber morphology;cornea opacity;abnormal retina pigment epithelium morphology;microphthalmia;abnormal retina photoreceptor layer morphology;cataract;abnormal lens morphology;abnormal retina ganglion layer morphology;abnormal eye development;abnormal lens vesicle development;aniridia;abnormal retina development;abnormal Bowman membrane morphology;absent eye anterior chamber;abnormal optic cup morphology;anterior polar cataract;retina fold;anophthalmia;abnormal iris morphology;mydriasis;abnormal eye size;abnormal optic nerve morphology;aphakia;abnormal iridocorneal angle;abnormal cornea endothelium morphology;cornea vascularization;iris hypoplasia;developmental cataract;irregularly shaped pupil;anterior iris synechia;absent lens vesicle;abnormal cornea anterior stroma morphology;abnormal cornea morphology;abnormal pupil morphology;abnormal lacrimal gland morphology;abnormal lens fiber morphology;delayed eyelid fusion;abnormal retina morphology;decreased cornea epithelium thickness;abnormal lens induction;abnormal lens development	True
ENSG00000007402	CACNA2D2	complex neurodevelopmental disorder	MONDO_0100038	ENSMUSG00000010066	MP_0003631	nervous system phenotype	MP_0000955;MP_0000866;MP_0009435;MP_0003216;MP_0008948;MP_0002206;MP_0003690;MP_0000633;MP_0000852;MP_0000956;MP_0003994;MP_0000937;MP_0000952;MP_0002826;MP_0002906;MP_0002882;MP_0008027;MP_0000849;MP_0008840;MP_0006108;MP_0002175;MP_0004811;MP_0004835;MP_0000876;MP_0000920;MP_0004994;MP_0001053;MP_0003990;MP_0000841;MP_0000880;MP_0002272;MP_0001077;MP_0014327;MP_0020533;MP_0000243;MP_0000846;MP_0000877;MP_0002064;MP_0008333;MP_0003993;MP_0005404;MP_0003225	abnormal spinal cord morphology;cerebellum vermis hypoplasia;abnormal miniature inhibitory postsynaptic currents;absence seizures;decreased neuron number;abnormal CNS synaptic transmission;abnormal glial cell physiology;abnormal pituitary gland morphology;small cerebellum;decreased spinal cord size;abnormal dorsal spinal root morphology;abnormal motor neuron morphology;abnormal CNS glial cell morphology;tonic seizures;increased susceptibility to pharmacologically induced seizures;abnormal neuron morphology;abnormal spinal cord white matter morphology;abnormal cerebellum morphology;abnormal spike wave discharge;abnormal hindbrain development;decreased brain weight;abnormal neuron physiology;abnormal miniature endplate potential;Purkinje cell degeneration;abnormal myelination;abnormal brain wave pattern;abnormal neuromuscular synapse morphology;decreased neurotransmitter release;abnormal hindbrain morphology;decreased Purkinje cell number;abnormal nervous system electrophysiology;abnormal spinal nerve morphology;decreased Purkinje cell size;decreased pons size;myoclonus;abnormal medulla oblongata morphology;abnormal Purkinje cell morphology;seizures;absent lactotrophs;abnormal ventral spinal root morphology;abnormal axon morphology;axonal dystrophy	True
ENSG00000007541	PIGQ	developmental and epileptic encephalopathy, 77	MONDO_0032808	ENSMUSG00000025728	MP_0003631	nervous system phenotype	MP_0003720;MP_0002151;MP_0003232;MP_0006108;MP_0003864	abnormal neural tube closure;abnormal neural tube morphology;abnormal forebrain development;abnormal hindbrain development;abnormal midbrain development	True
ENSG00000007541	PIGQ	developmental and epileptic encephalopathy, 77	MONDO_0032808	ENSMUSG00000025728	MP_0005378	growth/size/body region phenotype	MP_0001697;MP_0003984	abnormal embryo size;embryonic growth retardation	True
