mondo_disease_id	disease_label	mondo_ancestor_id	ancestor_label
MONDO_0012541	deafness with labyrinthine aplasia, microtia, and microdontia	MONDO_0003847	hereditary disease
MONDO_0032842	Siddiqi syndrome	MONDO_0003847	hereditary disease
MONDO_0032913	congenital heart defects, multiple types, 7	MONDO_0003847	hereditary disease
MONDO_0010383	fragile X syndrome	MONDO_0003847	hereditary disease
MONDO_0010383	fragile X syndrome	MONDO_0002254	syndromic disease
MONDO_0007797	hypoparathyroidism-deafness-renal disease syndrome	MONDO_0003847	hereditary disease
MONDO_0007797	hypoparathyroidism-deafness-renal disease syndrome	MONDO_0019040	chromosomal disorder
MONDO_0007797	hypoparathyroidism-deafness-renal disease syndrome	MONDO_0002254	syndromic disease
MONDO_0032685	infantile cataract, skin abnormalities, glutamate excess, and impaired intellectual development	MONDO_0003847	hereditary disease
MONDO_0014219	alacrima, achalasia, and intellectual disability syndrome	MONDO_0003847	hereditary disease
MONDO_0014219	alacrima, achalasia, and intellectual disability syndrome	MONDO_0002254	syndromic disease
MONDO_0700230	GPR143-related foveal hypoplasia	MONDO_0003847	hereditary disease
MONDO_0060711	Jaberi-Elahi syndrome	MONDO_0003847	hereditary disease
MONDO_0060711	Jaberi-Elahi syndrome	MONDO_0002254	syndromic disease
MONDO_0030606	Bryant-Li-Bhoj neurodevelopmental syndrome 1	MONDO_0003847	hereditary disease
MONDO_0030993	Tessadori-Van Haaften neurodevelopmental syndrome 3	MONDO_0003847	hereditary disease
MONDO_0016485	Usher syndrome type 3	MONDO_0003847	hereditary disease
MONDO_0016485	Usher syndrome type 3	MONDO_0002254	syndromic disease
MONDO_0100509	IFT140-related recessive ciliopathy	MONDO_0003847	hereditary disease
MONDO_0012423	MORM syndrome	MONDO_0003847	hereditary disease
MONDO_0021060	RASopathy	MONDO_0003847	hereditary disease
MONDO_0009423	hypokalemic alkalosis, familial, with specific renal tubulopathy	MONDO_0003847	hereditary disease
MONDO_0859184	ventriculomegaly and arthrogryposis	MONDO_0003847	hereditary disease
MONDO_0032774	cerebellar, ocular, craniofacial, and genital syndrome	MONDO_0003847	hereditary disease
MONDO_0029131	peripheral neuropathy, autosomal recessive, with or without impaired intellectual development	MONDO_0003847	hereditary disease
MONDO_0100458	MECOM-associated syndrome	MONDO_0003847	hereditary disease
MONDO_0044316	thrombocytopenia, anemia, and myelofibrosis	MONDO_0003847	hereditary disease
MONDO_0026730	Basilicata-Akhtar syndrome	MONDO_0003847	hereditary disease
MONDO_0026730	Basilicata-Akhtar syndrome	MONDO_0002254	syndromic disease
MONDO_0030880	mandibuloacral dysplasia progeroid syndrome	MONDO_0003847	hereditary disease
MONDO_0013549	N-acetylaspartate deficiency	MONDO_0003847	hereditary disease
MONDO_0032764	Khan-Khan-Katsanis syndrome	MONDO_0003847	hereditary disease
MONDO_0014174	renal-hepatic-pancreatic dysplasia 2	MONDO_0003847	hereditary disease
MONDO_0030849	intellectual developmental disorder with speech delay and axonal peripheral neuropathy	MONDO_0003847	hereditary disease
MONDO_0030033	seizures, early-onset, with neurodegeneration and brain calcifications	MONDO_0003847	hereditary disease
MONDO_0014984	lung disease, immunodeficiency, and chromosome breakage syndrome;	MONDO_0003847	hereditary disease
MONDO_0025351	multiple congenital anomalies-neurodevelopmental syndrome, X-linked	MONDO_0003847	hereditary disease
MONDO_0060549	congenital anomalies of kidney and urinary tract syndrome with or without hearing loss, abnormal ears, or developmental delay	MONDO_0003847	hereditary disease
MONDO_0032707	turnpenny-fry syndrome	MONDO_0003847	hereditary disease
MONDO_0014008	phosphohydroxylysinuria	MONDO_0003847	hereditary disease
MONDO_0859161	onychodystrophy, osteodystrophy, impaired intellectual development, and seizures syndrome	MONDO_0003847	hereditary disease
MONDO_0032824	glycosylphosphatidylinositol biosynthesis defect 21	MONDO_0003847	hereditary disease
MONDO_0013845	auriculocondylar syndrome 2	MONDO_0003847	hereditary disease
MONDO_0100155	retinal dystrophy-ataxia-pituitary hormone abnormality-hypogonadism syndrome	MONDO_0002254	syndromic disease
MONDO_0700276	POLR3A-related disorder	MONDO_0003847	hereditary disease
MONDO_0032934	genitourinary and/or brain malformation syndrome	MONDO_0003847	hereditary disease
MONDO_0008057	Carney complex, type 1	MONDO_0003847	hereditary disease
MONDO_0009374	hydroxyprolinemia	MONDO_0003847	hereditary disease
MONDO_0100558	RNU4ATAC spectrum disorder	MONDO_0003847	hereditary disease
MONDO_0100558	RNU4ATAC spectrum disorder	MONDO_0002254	syndromic disease
MONDO_0009833	Shwachman-Diamond syndrome	MONDO_0003847	hereditary disease
MONDO_0009833	Shwachman-Diamond syndrome	MONDO_0002254	syndromic disease
MONDO_0014444	Bardet-Biedl syndrome 16	MONDO_0003847	hereditary disease
MONDO_0014444	Bardet-Biedl syndrome 16	MONDO_0002254	syndromic disease
MONDO_0100337	SEC61A1 deficiency	MONDO_0003847	hereditary disease
MONDO_0029144	extraoral halitosis due to methanethiol oxidase deficiency	MONDO_0003847	hereditary disease
MONDO_0011652	Phelan-McDermid syndrome	MONDO_0003847	hereditary disease
MONDO_0011652	Phelan-McDermid syndrome	MONDO_0002254	syndromic disease
MONDO_0007777	hypotaurinemic retinal degeneration and cardiomyopathy	MONDO_0003847	hereditary disease
MONDO_0010278	Christianson syndrome	MONDO_0003847	hereditary disease
MONDO_0010278	Christianson syndrome	MONDO_0002254	syndromic disease
MONDO_0009082	high myopia-sensorineural deafness syndrome	MONDO_0003847	hereditary disease
MONDO_0009082	high myopia-sensorineural deafness syndrome	MONDO_0002254	syndromic disease
MONDO_0700123	SMARCC1-associated developmental dysgenesis syndrome	MONDO_0003847	hereditary disease
MONDO_0011323	arhinia, choanal atresia, and microphthalmia	MONDO_0003847	hereditary disease
MONDO_0014778	Lamb-Shaffer syndrome	MONDO_0003847	hereditary disease
MONDO_0859143	Radio-Tartaglia syndrome	MONDO_0003847	hereditary disease
MONDO_0859178	developmental delay, impaired speech, and behavioral abnormalities	MONDO_0003847	hereditary disease
MONDO_0030051	intellectual developmental disorder with autistic features and language delay, with or without seizures	MONDO_0003847	hereditary disease
MONDO_0009079	DOORS syndrome	MONDO_0003847	hereditary disease
MONDO_0009079	DOORS syndrome	MONDO_0002254	syndromic disease
MONDO_0032745	developmental delay with variable intellectual impairment and behavioral abnormalities	MONDO_0003847	hereditary disease
MONDO_0032922	Beck-Fahrner syndrome	MONDO_0003847	hereditary disease
MONDO_0032601	inflammatory bowel disease, immunodeficiency, and encephalopathy	MONDO_0003847	hereditary disease
MONDO_0032672	intellectual developmental disorder with cardiac defects and dysmorphic facies	MONDO_0003847	hereditary disease
MONDO_0012243	B-cell immunodeficiency, distal limb anomalies, and urogenital malformations	MONDO_0003847	hereditary disease
MONDO_0012243	B-cell immunodeficiency, distal limb anomalies, and urogenital malformations	MONDO_0002254	syndromic disease
MONDO_0100513	TRAF3 haploinsufficiency	MONDO_0003847	hereditary disease
MONDO_0018123	intellectual disability-obesity-brain malformations-facial dysmorphism syndrome	MONDO_0002254	syndromic disease
MONDO_0100111	focal segmental glomerulosclerosis and neurodevelopmental syndrome	MONDO_0003847	hereditary disease
MONDO_0060592	Sweeney-Cox syndrome	MONDO_0003847	hereditary disease
MONDO_0060592	Sweeney-Cox syndrome	MONDO_0002254	syndromic disease
MONDO_0859262	ACCES syndrome	MONDO_0003847	hereditary disease
MONDO_0014443	Bardet-Biedl syndrome 15	MONDO_0003847	hereditary disease
MONDO_0014443	Bardet-Biedl syndrome 15	MONDO_0002254	syndromic disease
MONDO_0030878	Kaya-Barakat-Masson syndrome	MONDO_0003847	hereditary disease
MONDO_0009798	Primrose syndrome	MONDO_0003847	hereditary disease
MONDO_0009798	Primrose syndrome	MONDO_0002254	syndromic disease
MONDO_0060527	maleylacetoacetate isomerase deficiency	MONDO_0003847	hereditary disease
MONDO_0008763	Alstrom syndrome	MONDO_0003847	hereditary disease
MONDO_0008763	Alstrom syndrome	MONDO_0002254	syndromic disease
MONDO_0014980	cone-rod dystrophy and hearing loss	MONDO_0003847	hereditary disease
MONDO_0012662	Usher syndrome type 2D	MONDO_0003847	hereditary disease
MONDO_0012662	Usher syndrome type 2D	MONDO_0002254	syndromic disease
